SITE,USAF,YEAR,BBCH11,n_11,LAT,LON
100000010,100000010,1998,113,1,48.35,4.30
100000010,100000010,1999,109,1,48.35,4.30
100000010,100000010,2000,118,1,48.35,4.30
100000010,100000010,2001,102,1,48.35,4.30
100000010,100000010,2002,105,1,48.35,4.30
100000010,100000010,2003,104,1,48.35,4.30
100000010,100000010,2004,110,1,48.35,4.30
100000010,100000010,2005,111,1,48.35,4.30
100000010,100000010,2007,102,1,48.35,4.30
100000010,100000010,2009,106,1,48.35,4.30
100000018,100000018,2006,NA,1,46.82,2.60
100000018,100000018,2007,102,1,46.82,2.60
100000018,100000018,2008,108,1,46.82,2.60
100000018,100000018,2009,96,1,46.82,2.60
100000040,100000040,1997,51,1,43.74,-0.84
100000040,100000040,1998,85,1,43.74,-0.84
100000040,100000040,1999,84,1,43.74,-0.84
100000040,100000040,2000,76,1,43.74,-0.84
100000040,100000040,2001,74,1,43.74,-0.84
100000040,100000040,2002,80,1,43.74,-0.84
100000040,100000040,2003,79,1,43.74,-0.84
100000040,100000040,2004,85,1,43.74,-0.84
100000040,100000040,2005,90,1,43.74,-0.84
100000040,100000040,2006,82,1,43.74,-0.84
100000040,100000040,2008,87,1,43.74,-0.84
100000049,100000049,1997,NA,1,47.46,-0.03
100000049,100000049,1998,103,1,47.46,-0.03
100000049,100000049,1999,84,1,47.46,-0.03
100000049,100000049,2000,97,1,47.46,-0.03
100000049,100000049,2001,99,1,47.46,-0.03
100000049,100000049,2002,80,1,47.46,-0.03
100000049,100000049,2003,86,1,47.46,-0.03
100000049,100000049,2004,92,1,47.46,-0.03
100000049,100000049,2005,90,1,47.46,-0.03
100000049,100000049,2006,107,1,47.46,-0.03
100000049,100000049,2007,81,1,47.46,-0.03
100000049,100000049,2008,73,1,47.46,-0.03
100000049,100000049,2009,89,1,47.46,-0.03
100000055,100000055,1997,128,1,49.02,5.77
100000055,100000055,1998,117,1,49.02,5.77
100000055,100000055,1999,NA,1,49.02,5.77
100000055,100000055,2001,109,1,49.02,5.77
100000055,100000055,2002,112,1,49.02,5.77
100000055,100000055,2003,111,1,49.02,5.77
100000055,100000055,2004,113,1,49.02,5.77
100000055,100000055,2005,111,1,49.02,5.77
100000055,100000055,2006,114,1,49.02,5.77
100000055,100000055,2008,122,1,49.02,5.77
100000055,100000055,2009,103,1,49.02,5.77
100000059,100000059,1997,114,1,50.17,3.75
100000059,100000059,1998,113,1,50.17,3.75
100000059,100000059,1999,112,1,50.17,3.75
100000059,100000059,2000,NA,1,50.17,3.75
100000059,100000059,2001,NA,1,50.17,3.75
100000059,100000059,2002,NA,1,50.17,3.75
100000059,100000059,2003,114,1,50.17,3.75
100000059,100000059,2004,110,1,50.17,3.75
100000059,100000059,2005,115,1,50.17,3.75
100000059,100000059,2006,117,1,50.17,3.75
100000059,100000059,2007,85,1,50.17,3.75
100000059,100000059,2008,112,1,50.17,3.75
100000059,100000059,2009,103,1,50.17,3.75
100000065,100000065,1997,NA,1,43.20,-0.04
100000065,100000065,1998,96,1,43.20,-0.04
100000065,100000065,1999,105,1,43.20,-0.04
100000065,100000065,2000,111,1,43.20,-0.04
100000065,100000065,2001,109,1,43.20,-0.04
100000065,100000065,2002,101,1,43.20,-0.04
100000065,100000065,2003,93,1,43.20,-0.04
100000065,100000065,2004,110,1,43.20,-0.04
100000065,100000065,2005,108,1,43.20,-0.04
100000065,100000065,2006,107,1,43.20,-0.04
100000065,100000065,2007,109,1,43.20,-0.04
