session	Individu	Espece	date_collecte	Jour_julien	jour post 0109	date_debourrement	date_fleur	incertitude	delai_max	delai_deb
1	carbet2	carbet	18/12/2014	351	108	no			32	NA
1	corave	corave	18/12/2014	351	108	09/01/2015		8		22
1	querob1	querob	18/12/2014	351	108	09/01/2015	16/01/2015	8		22
1	alnglu1	alnglu	18/12/2014	351	108	no			22	NA
1	acepse1	acepse	18/12/2014	351	108	no			32	NA
1	acepse2	acepse	18/12/2014	351	108	no			32	NA
1	betpen1	betpen	18/12/2014	351	108	12/01/2015		1		25
1	aeship	aeship	18/12/2014	351	108	09/01/2015		8		22
1	pruavi1	pruavi	18/12/2014	351	108	no	12/01/2015	1	32	NA
1	fraexc	fraexc	18/12/2014	351	108	no			32	NA
1	lardec	lardec	18/12/2014	351	108	no			32	NA
1	carbet1	carbet	18/12/2014	351	108	no			22	NA
1	carbet2	carbet	07/01/2015	6	128	no			42	NA
1	corave	corave	07/01/2015	6	128	16/01/2015		1		9
1	querob1	querob	07/01/2015	6	128	22/01/2015	22/01/2015	1		15
1	alnglu1	alnglu	07/01/2015	6	128	22/01/2015		1		15
1	acepse1	acepse	07/01/2015	6	128	no			36	NA
1	acepse2	acepse	07/01/2015	6	128	no			42	NA
1	betpen1	betpen	07/01/2015	6	128	no			9	NA
1	aeship	aeship	07/01/2015	6	128	26/01/2015		2		19
1	pruavi1	pruavi	07/01/2015	6	128	30/01/2015	22/01/2015	2		23
1	fraexc	fraexc	07/01/2015	6	128	no			42	NA
1	lardec	lardec	07/01/2015	6	128	no			42	NA
1	carbet1	carbet	07/01/2015	6	128	10/02/2015		2		34
1	carbet2	carbet	22/01/2015	21	143	12/02/2015		1		21
1	corave	corave	22/01/2015	21	143	30/01/2015		2		8
1	querob1	querob	22/01/2015	21	143	10/02/2015	06/02/2015	2		19
1	alnglu1	alnglu	22/01/2015	21	143	10/02/2015		1		19
1	acepse1	acepse	22/01/2015	21	143	16/02/2015		2		25
1	acepse2	acepse	22/01/2015	21	143	no			34	NA
1	betpen1	betpen	22/01/2015	21	143	02/02/2015		2		11
